p_id professor student hasPosition inPhase yearsInProgram
p_id_1 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_2 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_3 professor_1 student_0 hasPosition_Faculty inPhase_0 yearsInProgram_0
p_id_4 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_2
p_id_5 professor_1 student_0 hasPosition_Faculty_adj inPhase_0 yearsInProgram_0
p_id_6 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_5
p_id_7 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_7
p_id_8 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_10
p_id_9 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_3
p_id_10 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_3
p_id_11 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_1
p_id_12 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_1
p_id_13 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_5
p_id_14 professor_1 student_0 hasPosition_Faculty_eme inPhase_0 yearsInProgram_0
p_id_15 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_16 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_1
p_id_17 professor_1 student_0 hasPosition_Faculty_adj inPhase_0 yearsInProgram_0
p_id_18 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_19 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_20 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_21 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_1
p_id_22 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_23 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_24 professor_1 student_0 hasPosition_Faculty inPhase_0 yearsInProgram_0
p_id_25 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_5
p_id_26 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_1
p_id_27 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_5
p_id_28 professor_1 student_0 hasPosition_Faculty inPhase_0 yearsInProgram_0
p_id_29 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_2
p_id_30 professor_1 student_0 hasPosition_Faculty inPhase_0 yearsInProgram_0
p_id_31 professor_1 student_0 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_32 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_33 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_34 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_2
p_id_35 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_5
p_id_36 professor_1 student_0 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_37 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_6
p_id_38 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_5
p_id_39 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_1
p_id_40 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_41 professor_1 student_0 hasPosition_Faculty inPhase_0 yearsInProgram_0
p_id_42 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_4
p_id_43 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_6
p_id_44 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_45 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_46 professor_1 student_0 hasPosition_Faculty inPhase_0 yearsInProgram_0
p_id_47 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_6
p_id_48 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_6
p_id_49 professor_1 student_0 hasPosition_Faculty inPhase_0 yearsInProgram_0
p_id_50 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_5
p_id_51 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_52 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_53 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_54 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_55 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_56 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_5
p_id_57 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_58 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_5
p_id_59 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_1
p_id_60 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_5
p_id_61 professor_1 student_0 hasPosition_Faculty inPhase_0 yearsInProgram_0
p_id_62 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_2
p_id_63 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_5
p_id_64 professor_1 student_0 hasPosition_Faculty inPhase_0 yearsInProgram_0
p_id_65 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_66 professor_1 student_0 hasPosition_Faculty_aff inPhase_0 yearsInProgram_0
p_id_67 professor_1 student_0 hasPosition_Faculty inPhase_0 yearsInProgram_0
p_id_68 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_69 professor_1 student_0 hasPosition_Faculty inPhase_0 yearsInProgram_0
p_id_70 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_71 professor_1 student_0 hasPosition_Faculty_adj inPhase_0 yearsInProgram_0
p_id_72 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_4
p_id_73 professor_1 student_0 hasPosition_Faculty inPhase_0 yearsInProgram_0
p_id_74 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_3
p_id_75 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_4
p_id_76 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_77 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_4
p_id_78 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_79 professor_1 student_0 hasPosition_Faculty inPhase_0 yearsInProgram_0
p_id_80 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_81 professor_0 student_1 hasPosition_0 inPhase_Post_Quals yearsInProgram_Year_5
p_id_82 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_6
p_id_83 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_8
p_id_84 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_85 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_86 professor_0 student_1 hasPosition_0 inPhase_Post_Quals yearsInProgram_Year_3
p_id_87 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_88 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_6
p_id_89 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_9
p_id_90 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_91 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_92 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_5
p_id_93 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_5
p_id_94 professor_1 student_0 hasPosition_Faculty inPhase_0 yearsInProgram_0
p_id_95 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_4
p_id_96 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_2
p_id_97 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_4
p_id_98 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_99 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_2
p_id_100 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_7
p_id_101 professor_0 student_1 hasPosition_0 inPhase_Post_Quals yearsInProgram_Year_4
p_id_102 professor_1 student_0 hasPosition_Faculty inPhase_0 yearsInProgram_0
p_id_103 professor_1 student_0 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_104 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_105 professor_1 student_0 hasPosition_Faculty inPhase_0 yearsInProgram_0
p_id_106 professor_1 student_0 hasPosition_Faculty inPhase_0 yearsInProgram_0
p_id_107 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_1
p_id_108 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_2
p_id_109 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_2
p_id_110 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_111 professor_1 student_0 hasPosition_Faculty inPhase_0 yearsInProgram_0
p_id_112 professor_1 student_0 hasPosition_Faculty inPhase_0 yearsInProgram_0
p_id_113 professor_1 student_0 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_114 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_3
p_id_115 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_4
p_id_116 professor_1 student_0 hasPosition_Faculty_adj inPhase_0 yearsInProgram_0
p_id_117 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_1
p_id_118 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_1
p_id_119 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_120 professor_1 student_0 hasPosition_Faculty_adj inPhase_0 yearsInProgram_0
p_id_121 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_122 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_4
p_id_123 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_1
p_id_124 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_125 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_126 professor_0 student_1 hasPosition_0 inPhase_Post_Quals yearsInProgram_Year_4
p_id_127 professor_1 student_0 hasPosition_Faculty inPhase_0 yearsInProgram_0
p_id_128 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_129 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_6
p_id_130 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_1
p_id_131 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_6
p_id_132 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_133 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_4
p_id_134 professor_1 student_0 hasPosition_Faculty inPhase_0 yearsInProgram_0
p_id_135 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_7
p_id_136 professor_1 student_0 hasPosition_Faculty inPhase_0 yearsInProgram_0
p_id_137 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_138 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_5
p_id_139 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_12
p_id_140 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_1
p_id_141 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_142 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_4
p_id_143 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_3
p_id_144 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_145 professor_1 student_0 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_146 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_147 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_1
p_id_148 professor_1 student_0 hasPosition_Faculty inPhase_0 yearsInProgram_0
p_id_149 professor_1 student_0 hasPosition_Faculty inPhase_0 yearsInProgram_0
p_id_150 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_151 professor_0 student_1 hasPosition_0 inPhase_Post_Quals yearsInProgram_Year_4
p_id_152 professor_1 student_0 hasPosition_Faculty inPhase_0 yearsInProgram_0
p_id_153 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_3
p_id_154 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_5
p_id_155 professor_1 student_0 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_156 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_7
p_id_157 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_5
p_id_158 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_5
p_id_159 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_7
p_id_160 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_161 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_162 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_163 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_7
p_id_164 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_6
p_id_165 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_9
p_id_166 professor_0 student_1 hasPosition_0 inPhase_Post_Quals yearsInProgram_Year_5
p_id_167 professor_1 student_0 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_168 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_169 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_1
p_id_170 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_171 professor_0 student_1 hasPosition_0 inPhase_Post_Quals yearsInProgram_Year_2
p_id_172 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_173 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_5
p_id_174 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_3
p_id_175 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_1
p_id_176 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_2
p_id_177 professor_1 student_0 hasPosition_Faculty inPhase_0 yearsInProgram_0
p_id_178 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_3
p_id_179 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_1
p_id_180 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_3
p_id_181 professor_0 student_1 hasPosition_0 inPhase_Post_Quals yearsInProgram_Year_3
p_id_182 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_183 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_5
p_id_184 professor_1 student_0 hasPosition_Faculty inPhase_0 yearsInProgram_0
p_id_185 professor_1 student_0 hasPosition_Faculty_aff inPhase_0 yearsInProgram_0
p_id_186 professor_1 student_0 hasPosition_Faculty_aff inPhase_0 yearsInProgram_0
p_id_187 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_188 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_189 professor_1 student_0 hasPosition_Faculty_eme inPhase_0 yearsInProgram_0
p_id_190 professor_1 student_0 hasPosition_Faculty inPhase_0 yearsInProgram_0
p_id_191 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_3
p_id_192 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_8
p_id_193 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_4
p_id_194 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_195 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_3
p_id_196 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_197 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_3
p_id_198 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_4
p_id_199 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_4
p_id_200 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_201 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_202 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_5
p_id_203 professor_1 student_0 hasPosition_Faculty inPhase_0 yearsInProgram_0
p_id_204 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_3
p_id_205 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_206 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_207 professor_1 student_0 hasPosition_Faculty inPhase_0 yearsInProgram_0
p_id_208 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_209 professor_1 student_0 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_210 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_211 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_212 professor_1 student_0 hasPosition_Faculty inPhase_0 yearsInProgram_0
p_id_213 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_2
p_id_214 professor_1 student_0 hasPosition_Faculty inPhase_0 yearsInProgram_0
